Simulation has 15 agents and 0 obstacle vertices in it.
Running simulation
step= 0  t=0.000  (40.000, 0.000)  (36.542, 16.269)  (26.765, 29.726)  (12.361, 38.042)  (-4.181, 39.781)  (-20.000, 34.641)  (-32.361, 23.511)  (-39.126, 8.316)  (-39.126, -8.316)  (-32.361, -23.511)  (-20.000, -34.641)  (-4.181, -39.781)  (12.361, -38.042)  (26.765, -29.726)  (36.542, -16.269)
step= 1  t=1.000  (38.001, 0.000)  (34.715, 15.456)  (25.427, 28.240)  (11.743, 36.141)  (-3.972, 37.793)  (-19.000, 32.910)  (-30.743, 22.336)  (-37.170, 7.901)  (-37.170, -7.901)  (-30.743, -22.336)  (-19.000, -32.910)  (-3.972, -37.793)  (11.743, -36.141)  (25.427, -28.240)  (34.715, -15.456)
step= 2  t=2.000  (36.002, 0.000)  (32.889, 14.643)  (24.090, 26.754)  (11.125, 34.240)  (-3.763, 35.804)  (-18.001, 31.178)  (-29.126, 21.161)  (-35.215, 7.485)  (-35.215, -7.485)  (-29.126, -21.161)  (-18.001, -31.178)  (-3.763, -35.804)  (11.125, -34.240)  (24.090, -26.754)  (32.889, -14.643)
step= 3  t=3.000  (34.002, 0.000)  (31.063, 13.830)  (22.752, 25.269)  (10.507, 32.338)  (-3.554, 33.816)  (-17.001, 29.447)  (-27.508, 19.986)  (-33.259, 7.069)  (-33.259, -7.069)  (-27.508, -19.986)  (-17.001, -29.447)  (-3.554, -33.816)  (10.507, -32.338)  (22.752, -25.269)  (31.063, -13.830)
step= 4  t=4.000  (32.003, 0.000)  (29.236, 13.017)  (21.414, 23.783)  (9.890, 30.437)  (-3.345, 31.828)  (-16.002, 27.716)  (-25.891, 18.811)  (-31.304, 6.654)  (-31.304, -6.654)  (-25.891, -18.811)  (-16.002, -27.716)  (-3.345, -31.828)  (9.890, -30.437)  (21.414, -23.783)  (29.236, -13.017)
step= 5  t=5.000  (30.004, 0.000)  (27.410, 12.204)  (20.077, 22.297)  (9.272, 28.535)  (-3.136, 29.840)  (-15.002, 25.984)  (-24.274, 17.636)  (-29.348, 6.238)  (-29.348, -6.238)  (-24.274, -17.636)  (-15.002, -25.984)  (-3.136, -29.840)  (9.272, -28.535)  (20.077, -22.297)  (27.410, -12.204)
step= 6  t=6.000  (28.005, 0.000)  (25.584, 11.391)  (18.739, 20.812)  (8.654, 26.634)  (-2.927, 27.851)  (-14.002, 24.253)  (-22.656, 16.461)  (-27.393, 5.823)  (-27.393, -5.823)  (-22.656, -16.461)  (-14.002, -24.253)  (-2.927, -27.851)  (8.654, -26.634)  (18.739, -20.812)  (25.584, -11.391)
step= 7  t=7.000  (26.006, 0.000)  (23.757, 10.577)  (17.401, 19.326)  (8.036, 24.733)  (-2.718, 25.863)  (-13.003, 22.521)  (-21.039, 15.286)  (-25.437, 5.407)  (-25.437, -5.407)  (-21.039, -15.286)  (-13.003, -22.521)  (-2.718, -25.863)  (8.036, -24.733)  (17.401, -19.326)  (23.757, -10.577)
step= 8  t=8.000  (24.006, 0.000)  (21.931, 9.764)  (16.063, 17.840)  (7.418, 22.831)  (-2.509, 23.875)  (-12.003, 20.790)  (-19.422, 14.111)  (-23.482, 4.991)  (-23.482, -4.991)  (-19.422, -14.111)  (-12.003, -20.790)  (-2.509, -23.875)  (7.418, -22.831)  (16.063, -17.840)  (21.931, -9.764)
step= 9  t=9.000  (22.007, -0.000)  (20.104, 8.951)  (14.726, 16.354)  (6.801, 20.930)  (-2.300, 21.886)  (-11.003, 19.059)  (-17.804, 12.935)  (-21.526, 4.576)  (-21.526, -4.576)  (-17.804, -12.935)  (-11.003, -19.059)  (-2.300, -21.886)  (6.801, -20.930)  (14.726, -16.354)  (20.104, -8.951)
step= 10  t=10.000  (20.008, -0.000)  (18.278, 8.138)  (13.388, 14.869)  (6.183, 19.028)  (-2.091, 19.898)  (-10.004, 17.327)  (-16.187, 11.760)  (-19.570, 4.160)  (-19.570, -4.160)  (-16.187, -11.760)  (-10.004, -17.327)  (-2.091, -19.898)  (6.183, -19.028)  (13.388, -14.869)  (18.278, -8.138)
