step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 1  t=1.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 2  t=2.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 3  t=3.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 4  t=4.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 5  t=5.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 6  t=6.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 7  t=7.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 8  t=8.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.485)  (-0.618, -1.901)  (0.209, -1.988)  (0.999, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 9  t=9.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 10  t=10.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.902)  (0.209, -1.988)  (1.000, -1.731)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.902)  (-1.338, 1.486)  (-1.826, 0.813)
step= 11  t=11.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.618, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 12  t=12.000  (-1.890, 0.021)  (-1.785, -0.788)  (-1.274, -1.380)  (0.548, 1.923)  (0.170, -1.683)  (0.867, -1.559)  (-1.573, 1.235)  (1.928, -0.396)  (1.875, 0.379)  (1.497, 1.083)  (0.933, 1.638)  (0.194, 1.940)  (0.751, -1.854)  (-1.321, 1.470)  (-1.759, 0.788)
step= 13  t=13.000  (-1.774, 0.034)  (-1.160, -0.534)  (-1.339, -1.302)  (0.115, -0.060)  (0.343, -1.893)  (0.980, -1.743)  (0.005, -0.050)  (1.946, -0.328)  (1.679, 0.391)  (1.366, 1.011)  (0.896, 1.482)  (0.255, 1.980)  (0.045, 0.157)  (-1.376, 1.415)  (-1.674, 0.729)
step= 14  t=14.000  (-1.812, 0.175)  (-1.335, -0.527)  (-1.165, -1.203)  (-0.351, -1.157)  (0.329, -1.973)  (1.017, -1.722)  (1.046, -0.756)  (1.866, -0.196)  (1.663, 0.451)  (1.255, 0.924)  (0.935, 1.453)  (0.119, 1.996)  (-0.372, 1.294)  (-1.408, 1.267)  (-1.657, 0.658)
step= 15  t=15.000  (-1.694, 0.152)  (-1.377, -0.564)  (-1.289, -0.785)  (-0.524, -1.679)  (0.374, -1.965)  (0.950, -1.760)  (1.511, -1.123)  (1.834, -0.048)  (1.627, 0.483)  (1.236, 0.903)  (0.965, 1.371)  (0.068, 1.999)  (-0.591, 1.846)  (-1.478, 1.192)  (-1.640, 0.661)
step= 16  t=16.000  (-1.698, 0.165)  (-1.368, -0.547)  (-1.480, -0.798)  (-0.617, -1.899)  (0.496, -1.938)  (0.891, -1.791)  (1.617, -1.176)  (1.785, 0.053)  (1.609, 0.522)  (1.218, 0.864)  (0.991, 1.198)  (0.053, 1.999)  (-0.628, 1.898)  (-1.435, 1.302)  (-1.666, 0.608)
step= 17  t=17.000  (-1.768, 0.404)  (-1.282, -0.747)  (-1.557, -0.752)  (-0.558, -1.859)  (0.424, -1.955)  (0.896, -1.788)  (1.617, -1.176)  (1.709, 0.223)  (1.445, 0.545)  (1.203, 0.887)  (1.069, 1.175)  (0.078, 1.998)  (-0.650, 1.846)  (-1.440, 1.291)  (-1.669, 0.553)
step= 18  t=18.000  (-1.543, 0.099)  (-1.485, -0.396)  (-1.752, 0.964)  (-0.559, -1.857)  (0.373, -1.965)  (0.937, -1.767)  (1.611, -1.177)  (1.665, 0.115)  (1.334, 0.575)  (0.392, 0.921)  (1.262, 1.100)  (-0.100, 1.998)  (-0.656, 1.827)  (-1.506, 1.300)  (-1.494, 0.501)
step= 19  t=19.000  (-1.435, -0.008)  (-1.372, -0.356)  (-1.533, 0.571)  (-0.710, -1.582)  (0.274, -1.892)  (0.468, -0.865)  (1.346, -0.767)  (1.996, 0.126)  (1.193, 0.615)  (-1.776, 0.246)  (1.622, 0.949)  (-0.232, 1.760)  (-0.601, 1.816)  (-1.602, 1.197)  (-1.274, 0.350)
step= 20  t=20.000  (-1.532, -0.055)  (-1.228, -0.406)  (-1.214, 0.282)  (0.091, -1.132)  (0.608, -1.387)  (0.381, -0.688)  (1.064, -0.580)  (1.990, 0.200)  (0.752, 1.853)  (-1.035, 0.409)  (1.925, 0.544)  (0.197, 1.990)  (0.133, -0.705)  (-1.682, 0.765)  (-1.961, 0.394)
