step= 0  t=0.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 1  t=1.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 2  t=2.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 3  t=3.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 4  t=4.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 5  t=5.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 6  t=6.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 7  t=7.000  (-1.999, 0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.956, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 8  t=8.000  (-1.999, -0.000)  (-1.826, -0.813)  (-1.338, -1.485)  (-0.618, -1.901)  (0.209, -1.988)  (0.999, -1.731)  (1.617, -1.175)  (1.955, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.485)  (-1.826, 0.813)
step= 9  t=9.000  (-1.999, -0.000)  (-1.826, -0.813)  (-1.338, -1.485)  (-0.618, -1.901)  (0.209, -1.988)  (0.999, -1.731)  (1.617, -1.175)  (1.955, -0.416)  (1.955, 0.416)  (1.617, 1.175)  (0.999, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.485)  (-1.826, 0.813)
step= 10  t=10.000  (-1.999, -0.000)  (-1.826, -0.813)  (-1.338, -1.486)  (-0.618, -1.901)  (0.209, -1.988)  (1.000, -1.731)  (1.617, -1.175)  (1.955, -0.416)  (1.956, 0.416)  (1.617, 1.175)  (1.000, 1.731)  (0.209, 1.988)  (-0.618, 1.901)  (-1.338, 1.486)  (-1.826, 0.813)
step= 11  t=11.000  (-1.719, 0.000)  (-1.570, -0.699)  (-1.150, -1.277)  (-0.531, -1.635)  (0.180, -1.710)  (0.859, -1.489)  (1.390, -1.010)  (1.683, -0.358)  (1.681, 0.357)  (1.391, 1.010)  (0.859, 1.489)  (0.180, 1.710)  (-0.531, 1.635)  (-1.150, 1.277)  (-1.570, 0.699)
step= 12  t=12.000  (-1.432, -0.000)  (-1.309, -0.583)  (-0.958, -1.065)  (-0.443, -1.362)  (0.150, -1.425)  (0.716, -1.239)  (1.162, -0.844)  (1.396, -0.297)  (1.405, 0.299)  (1.158, 0.841)  (0.716, 1.241)  (0.150, 1.425)  (-0.443, 1.362)  (-0.959, 1.065)  (-1.309, 0.583)
step= 13  t=13.000  (-1.194, 0.000)  (-1.091, -0.486)  (-0.799, -0.887)  (-0.369, -1.135)  (0.125, -1.185)  (0.600, -1.041)  (0.951, -0.690)  (1.186, -0.252)  (1.150, 0.243)  (0.971, 0.707)  (0.596, 1.032)  (0.125, 1.187)  (-0.369, 1.135)  (-0.799, 0.887)  (-1.091, 0.486)
step= 14  t=14.000  (-0.995, -0.000)  (-0.909, -0.405)  (-0.666, -0.739)  (-0.306, -0.944)  (0.104, -1.000)  (0.479, -0.822)  (0.835, -0.608)  (0.855, -0.182)  (1.010, 0.216)  (0.772, 0.556)  (0.502, 0.872)  (0.104, 0.987)  (-0.307, 0.946)  (-0.666, 0.739)  (-0.908, 0.404)
step= 15  t=15.000  (-0.829, 0.000)  (-0.757, -0.337)  (-0.553, -0.615)  (-0.261, -0.799)  (0.088, -0.743)  (0.434, -0.754)  (1.587, -1.215)  (0.838, -0.178)  (1.944, 0.466)  (0.704, 0.512)  (0.383, 0.644)  (0.086, 0.836)  (-0.255, 0.787)  (-0.554, 0.615)  (-0.758, 0.337)
step= 16  t=16.000  (-0.692, -0.000)  (-0.629, -0.280)  (-0.470, -0.520)  (-0.148, -0.525)  (0.077, -0.709)  (0.722, -1.280)  (1.874, -0.699)  (1.220, -0.262)  (1.645, 0.406)  (1.181, 0.876)  (0.359, 0.616)  (0.079, 0.550)  (-0.218, 0.665)  (-0.462, 0.513)  (-0.630, 0.280)
step= 17  t=17.000  (-0.573, -0.000)  (-0.533, -0.236)  (0.099, -0.051)  (-0.337, -0.677)  (0.089, -1.109)  (0.777, -1.216)  (1.713, -1.032)  (1.141, -0.245)  (1.871, 0.395)  (1.201, 0.787)  (0.667, 0.922)  (-0.030, 0.766)  (-0.016, 0.249)  (-0.389, 0.431)  (-0.526, 0.235)
step= 18  t=18.000  (-0.483, 0.001)  (-1.118, -0.353)  (-0.396, -0.283)  (0.030, -0.905)  (0.050, -1.093)  (0.805, -1.220)  (1.887, -0.662)  (1.099, -0.234)  (1.735, 0.286)  (1.285, 0.873)  (0.470, 0.958)  (0.325, 0.744)  (-0.254, 0.615)  (-0.867, 0.761)  (-0.440, 0.195)
step= 19  t=19.000  (-0.878, 0.100)  (-1.824, -0.818)  (-0.227, -0.405)  (-0.234, -0.685)  (0.083, -1.106)  (0.817, -1.185)  (1.911, -0.592)  (1.114, -0.159)  (1.730, 0.274)  (1.265, 0.893)  (0.525, 1.034)  (-0.074, 0.691)  (0.189, 0.699)  (-1.334, 1.490)  (-0.836, 0.261)
step= 20  t=20.000  (-1.338, 0.203)  (-1.808, -0.856)  (-0.455, -0.668)  (-0.095, -1.063)  (0.130, -0.883)  (0.677, -1.087)  (1.989, -0.206)  (1.280, -0.208)  (1.774, 0.448)  (1.507, 0.470)  (0.211, 0.964)  (0.119, 0.770)  (-0.046, 0.559)  (-0.637, 1.304)  (-1.311, 0.339)
