step= 0  t=0.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 1  t=0.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 2  t=1.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 3  t=1.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 4  t=2.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 5  t=2.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 6  t=3.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 7  t=3.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 8  t=4.000  (1.999, 0.000)  (1.882, 0.458)  (-1.876, 0.482)  (-1.999, 0.000)
step= 9  t=4.500  (1.999, 0.000)  (1.352, 1.160)  (-1.355, 1.183)  (-1.999, 0.000)
step= 10  t=5.000  (1.999, 0.000)  (1.993, -0.155)  (-1.993, -0.160)  (-1.999, 0.000)
step= 11  t=5.500  (1.999, 0.000)  (1.993, -0.155)  (-1.992, -0.160)  (-1.999, 0.000)
step= 12  t=6.000  (1.999, 0.000)  (1.993, -0.155)  (-1.993, -0.160)  (-1.999, 0.000)
step= 13  t=6.500  (1.972, -0.293)  (1.970, 0.091)  (-1.970, 0.091)  (-1.976, -0.242)
step= 14  t=7.000  (1.971, -0.307)  (1.957, 0.117)  (-1.966, 0.068)  (-1.971, -0.261)
step= 15  t=7.500  (1.979, -0.278)  (1.895, 0.246)  (-1.969, -0.001)  (-1.924, -0.399)
step= 16  t=8.000  (1.999, 0.036)  (1.968, -0.352)  (-1.976, -0.299)  (-1.999, 0.037)
step= 17  t=8.500  (1.999, 0.036)  (1.968, -0.352)  (-1.977, -0.299)  (-1.999, 0.037)
step= 18  t=9.000  (1.889, 0.485)  (1.968, -0.352)  (-1.977, -0.299)  (-1.891, -0.402)
step= 19  t=9.500  (1.873, 0.504)  (1.968, -0.352)  (-1.977, -0.299)  (-1.876, -0.418)
step= 20  t=10.000  (1.999, -0.009)  (1.099, -0.197)  (-0.984, -0.149)  (-1.997, 0.082)
step= 21  t=10.500  (1.999, -0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.997, 0.082)
step= 22  t=11.000  (1.999, -0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, 0.082)
step= 23  t=11.500  (1.999, -0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, 0.082)
step= 24  t=12.000  (1.999, -0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, 0.082)
step= 25  t=12.500  (1.999, -0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.997, 0.082)
step= 26  t=13.000  (1.999, -0.009)  (0.000, 0.000)  (0.000, 0.000)  (-1.997, 0.082)
step= 27  t=13.500  (1.993, 0.013)  (0.000, 0.000)  (0.000, 0.000)  (-1.866, 0.017)
step= 28  t=14.000  (1.953, 0.088)  (0.000, 0.000)  (0.000, 0.000)  (-1.948, -0.146)
step= 29  t=14.500  (1.720, 0.205)  (0.000, 0.000)  (0.000, 0.000)  (-1.868, -0.258)
step= 30  t=15.000  (1.850, 0.761)  (0.000, 0.000)  (0.000, 0.000)  (-1.955, -0.423)
step= 31  t=15.500  (2.000, -0.039)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 32  t=16.000  (1.994, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 33  t=16.500  (1.994, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 34  t=17.000  (1.994, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 35  t=17.500  (1.994, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 36  t=18.000  (1.994, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 37  t=18.500  (1.995, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 38  t=19.000  (1.995, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 39  t=19.500  (1.995, -0.136)  (0.000, 0.000)  (0.000, 0.000)  (-1.989, 0.200)
step= 40  t=20.000  (0.865, -0.059)  (0.000, 0.000)  (0.000, 0.000)  (-0.857, 0.086)
