step= 0  t=0.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 1  t=0.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 2  t=1.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 3  t=1.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 4  t=2.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 5  t=2.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 6  t=3.000  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 7  t=3.500  (1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)  (-1.999, 0.000)
step= 8  t=4.000  (1.999, 0.000)  (1.851, -0.580)  (-1.851, 0.580)  (-1.999, 0.000)
step= 9  t=4.500  (1.999, 0.000)  (1.889, -0.488)  (-1.889, 0.488)  (-1.999, 0.000)
step= 10  t=5.000  (1.999, 0.000)  (1.996, 0.105)  (-1.996, -0.105)  (-1.999, 0.000)
step= 11  t=5.500  (1.999, 0.000)  (1.996, 0.105)  (-1.996, -0.105)  (-1.999, 0.000)
step= 12  t=6.000  (1.999, 0.000)  (1.996, 0.105)  (-1.996, -0.105)  (-1.999, 0.000)
step= 13  t=6.500  (1.931, -0.450)  (1.928, -0.344)  (-1.928, 0.344)  (-1.931, 0.450)
step= 14  t=7.000  (1.960, -0.358)  (1.947, -0.252)  (-1.947, 0.252)  (-1.960, 0.358)
step= 15  t=7.500  (1.999, 0.032)  (1.982, 0.257)  (-1.982, -0.257)  (-1.999, -0.032)
step= 16  t=8.000  (1.999, 0.032)  (1.982, 0.257)  (-1.982, -0.257)  (-1.999, -0.032)
step= 17  t=8.500  (1.999, 0.032)  (1.983, 0.257)  (-1.983, -0.257)  (-1.999, -0.032)
step= 18  t=9.000  (1.981, -0.240)  (1.983, 0.257)  (-1.983, -0.257)  (-1.981, 0.240)
step= 19  t=9.500  (1.994, -0.145)  (1.983, 0.257)  (-1.983, -0.257)  (-1.994, 0.145)
step= 20  t=10.000  (1.998, 0.055)  (0.490, 0.064)  (-0.490, -0.064)  (-1.998, -0.055)
step= 21  t=10.500  (1.998, 0.055)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.055)
step= 22  t=11.000  (1.998, 0.055)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.055)
step= 23  t=11.500  (1.999, 0.055)  (0.000, 0.000)  (0.000, 0.000)  (-1.999, -0.055)
step= 24  t=12.000  (1.998, 0.055)  (0.000, 0.000)  (0.000, 0.000)  (-1.998, -0.055)
step= 25  t=12.500  (1.882, -0.039)  (0.000, 0.000)  (0.000, 0.000)  (-1.882, 0.039)
step= 26  t=13.000  (1.963, -0.197)  (0.000, 0.000)  (0.000, 0.000)  (-1.963, 0.197)
step= 27  t=13.500  (1.944, -0.277)  (0.000, 0.000)  (0.000, 0.000)  (-1.944, 0.277)
step= 28  t=14.000  (1.930, -0.320)  (0.000, 0.000)  (0.000, 0.000)  (-1.930, 0.320)
step= 29  t=14.500  (1.923, -0.336)  (0.000, 0.000)  (0.000, 0.000)  (-1.923, 0.336)
step= 30  t=15.000  (1.984, -0.246)  (0.000, 0.000)  (0.000, 0.000)  (-1.984, 0.246)
step= 31  t=15.500  (1.984, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.984, -0.240)
step= 32  t=16.000  (1.984, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.984, -0.240)
step= 33  t=16.500  (1.984, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.984, -0.240)
step= 34  t=17.000  (1.984, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.984, -0.240)
step= 35  t=17.500  (1.984, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.984, -0.240)
step= 36  t=18.000  (1.984, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.984, -0.240)
step= 37  t=18.500  (1.985, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.985, -0.240)
step= 38  t=19.000  (1.985, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.985, -0.240)
step= 39  t=19.500  (1.985, 0.240)  (0.000, 0.000)  (0.000, 0.000)  (-1.985, -0.240)
step= 40  t=20.000  (0.671, 0.081)  (0.000, 0.000)  (0.000, 0.000)  (-0.671, -0.081)
