Simulation has 8 agents and 0 obstacle vertices in it.
Running simulation
step= 0  t=0.000  (40.000, 0.000)  (28.284, 28.284)  (0.000, 40.000)  (-28.284, 28.284)  (-40.000, 0.000)  (-28.284, -28.284)  (-0.000, -40.000)  (28.284, -28.284)
step= 1  t=1.000  (38.001, 0.000)  (26.871, 26.871)  (0.000, 38.001)  (-26.871, 26.871)  (-38.001, 0.000)  (-26.871, -26.871)  (-0.000, -38.001)  (26.871, -26.871)
step= 2  t=2.000  (36.002, 0.000)  (25.457, 25.457)  (0.000, 36.002)  (-25.457, 25.457)  (-36.002, 0.000)  (-25.457, -25.457)  (-0.000, -36.002)  (25.457, -25.457)
step= 3  t=3.000  (34.002, 0.000)  (24.043, 24.043)  (0.000, 34.002)  (-24.043, 24.043)  (-34.002, 0.000)  (-24.043, -24.043)  (-0.000, -34.002)  (24.043, -24.043)
step= 4  t=4.000  (32.003, 0.000)  (22.630, 22.630)  (0.000, 32.003)  (-22.630, 22.630)  (-32.003, 0.000)  (-22.630, -22.630)  (-0.000, -32.003)  (22.630, -22.630)
step= 5  t=5.000  (30.004, 0.000)  (21.216, 21.216)  (0.000, 30.004)  (-21.216, 21.216)  (-30.004, 0.000)  (-21.216, -21.216)  (-0.000, -30.004)  (21.216, -21.216)
step= 6  t=6.000  (28.005, 0.000)  (19.802, 19.802)  (0.000, 28.005)  (-19.802, 19.802)  (-28.005, 0.000)  (-19.802, -19.802)  (-0.000, -28.005)  (19.802, -19.802)
step= 7  t=7.000  (26.006, 0.000)  (18.389, 18.389)  (0.000, 26.006)  (-18.389, 18.389)  (-26.006, 0.000)  (-18.389, -18.389)  (-0.000, -26.006)  (18.389, -18.389)
step= 8  t=8.000  (24.006, 0.000)  (16.975, 16.975)  (0.000, 24.006)  (-16.975, 16.975)  (-24.006, 0.000)  (-16.975, -16.975)  (-0.000, -24.006)  (16.975, -16.975)
step= 9  t=9.000  (22.007, 0.000)  (15.561, 15.561)  (0.000, 22.007)  (-15.561, 15.561)  (-22.007, 0.000)  (-15.561, -15.561)  (-0.000, -22.007)  (15.561, -15.561)
step= 10  t=10.000  (20.008, 0.000)  (14.148, 14.148)  (0.000, 20.008)  (-14.148, 14.148)  (-20.008, 0.000)  (-14.148, -14.148)  (-0.000, -20.008)  (14.148, -14.148)
step= 11  t=11.000  (18.009, 0.000)  (12.734, 12.734)  (0.000, 18.009)  (-12.734, 12.734)  (-18.009, 0.000)  (-12.734, -12.734)  (-0.000, -18.009)  (12.734, -12.734)
