step= 0  t=0.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 1  t=1.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 2  t=2.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 3  t=3.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 4  t=4.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 5  t=5.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 6  t=6.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 7  t=7.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 8  t=8.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 9  t=9.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 10  t=10.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 11  t=11.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 12  t=12.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 13  t=13.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 14  t=14.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 15  t=15.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 16  t=16.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 17  t=17.000  (1.999, -0.000)  (-1.999, -0.000)  (1.999, -0.000)  (-1.999, -0.000)  (1.999, 0.000)  (-1.999, 0.000)  (1.999, 0.000)  (-1.999, 0.000)
step= 18  t=18.000  (1.879, -0.471)  (-1.876, -0.481)  (-0.021, 0.025)  (0.020, -0.030)  (0.155, 0.027)  (-0.002, 0.031)  (-0.277, 0.081)  (-1.875, 0.485)
