step= 0  t=0.000  (1.999, -0.033)  (-1.999, -0.033)  (0.000, -0.000)  (0.000, -0.000)  (0.000, -0.000)  (0.000, -0.000)  (1.999, 0.033)  (-1.999, 0.033)
step= 1  t=1.000  (1.999, 0.001)  (-1.999, 0.001)  (1.298, -0.033)  (-1.298, -0.033)  (1.298, 0.033)  (-1.298, 0.033)  (1.999, -0.001)  (-1.999, -0.001)
step= 2  t=2.000  (1.999, 0.001)  (-1.999, 0.001)  (2.000, 0.001)  (-2.000, 0.001)  (2.000, -0.001)  (-2.000, -0.001)  (1.999, -0.001)  (-1.999, -0.001)
step= 3  t=3.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.028)  (-1.999, -0.028)  (1.999, 0.028)  (-1.999, 0.028)  (1.999, -0.001)  (-1.999, -0.001)
step= 4  t=4.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, 0.002)  (-1.999, 0.002)  (1.999, -0.002)  (-1.999, -0.002)  (1.999, -0.001)  (-1.999, -0.001)
step= 5  t=5.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.024)  (-1.999, -0.024)  (1.999, 0.024)  (-1.999, 0.024)  (1.999, -0.001)  (-1.999, -0.001)
step= 6  t=6.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, 0.002)  (-1.999, 0.002)  (1.999, -0.002)  (-1.999, -0.002)  (1.999, -0.001)  (-1.999, -0.001)
step= 7  t=7.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.020)  (-1.999, -0.020)  (1.999, 0.020)  (-1.999, 0.020)  (1.999, -0.001)  (-1.999, -0.001)
step= 8  t=8.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, 0.003)  (-1.999, 0.003)  (1.999, -0.003)  (-1.999, -0.003)  (1.999, -0.001)  (-1.999, -0.001)
step= 9  t=9.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.017)  (-1.999, -0.017)  (1.999, 0.017)  (-1.999, 0.017)  (1.999, -0.001)  (-1.999, -0.001)
step= 10  t=10.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, 0.004)  (-1.999, 0.004)  (1.999, -0.004)  (-1.999, -0.004)  (1.999, -0.001)  (-1.999, -0.001)
step= 11  t=11.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.015)  (-1.999, -0.015)  (1.999, 0.015)  (-1.999, 0.015)  (1.999, -0.001)  (-1.999, -0.001)
step= 12  t=12.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, 0.004)  (-1.999, 0.004)  (1.999, -0.004)  (-1.999, -0.004)  (1.999, -0.001)  (-1.999, -0.001)
step= 13  t=13.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.013)  (-1.999, -0.013)  (1.999, 0.013)  (-1.999, 0.013)  (1.999, -0.001)  (-1.999, -0.001)
step= 14  t=14.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, 0.005)  (-1.999, 0.005)  (1.999, -0.005)  (-1.999, -0.005)  (1.999, -0.001)  (-1.999, -0.001)
step= 15  t=15.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.012)  (-1.999, -0.012)  (1.999, 0.012)  (-1.999, 0.012)  (1.999, -0.001)  (-1.999, -0.001)
step= 16  t=16.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, 0.006)  (-1.999, 0.006)  (1.999, -0.006)  (-1.999, -0.006)  (1.999, -0.001)  (-1.999, -0.001)
step= 17  t=17.000  (1.999, 0.001)  (-1.999, 0.001)  (1.999, -0.011)  (-1.999, -0.011)  (1.999, 0.011)  (-1.999, 0.011)  (1.999, -0.001)  (-1.999, -0.001)
step= 18  t=18.000  (1.827, -0.675)  (-1.912, 0.588)  (1.999, 0.006)  (-1.999, 0.006)  (1.999, -0.006)  (-1.999, -0.006)  (1.912, -0.588)  (-1.827, 0.675)
step= 19  t=19.000  (1.888, -0.592)  (-1.970, 0.345)  (-0.832, 0.323)  (0.535, 0.042)  (-0.535, -0.042)  (0.833, -0.323)  (1.970, -0.345)  (-1.888, 0.592)
step= 20  t=20.000  (1.998, 0.064)  (-1.999, -0.045)  (-1.150, 0.484)  (-1.183, 0.052)  (1.183, -0.052)  (1.150, -0.484)  (1.999, 0.045)  (-1.998, -0.064)
step= 21  t=21.000  (1.998, 0.064)  (-1.999, -0.045)  (0.274, -0.045)  (-1.999, 0.002)  (1.999, -0.002)  (-0.274, 0.045)  (1.999, 0.045)  (-1.998, -0.064)
step= 22  t=22.000  (1.998, 0.064)  (-1.998, -0.045)  (1.461, 0.553)  (-1.936, -0.396)  (1.936, 0.396)  (-1.461, -0.553)  (1.998, 0.045)  (-1.998, -0.064)
step= 23  t=23.000  (1.998, 0.064)  (-1.998, -0.045)  (1.949, 0.447)  (-1.978, -0.256)  (1.978, 0.256)  (-1.949, -0.447)  (1.998, 0.045)  (-1.998, -0.064)
step= 24  t=24.000  (1.998, 0.064)  (-1.998, -0.045)  (1.485, 0.960)  (-1.999, 0.036)  (1.999, -0.036)  (-1.485, -0.960)  (1.998, 0.045)  (-1.998, -0.064)
step= 25  t=25.000  (1.998, 0.064)  (-1.998, -0.045)  (1.736, 0.735)  (-1.999, 0.036)  (1.999, -0.036)  (-1.736, -0.735)  (1.998, 0.045)  (-1.998, -0.064)
step= 26  t=26.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 27  t=27.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 28  t=28.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 29  t=29.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 30  t=30.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 31  t=31.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 32  t=32.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 33  t=33.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 34  t=34.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 35  t=35.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 36  t=36.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 37  t=37.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 38  t=38.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.999, 0.036)  (1.998, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 39  t=39.000  (1.998, 0.064)  (-1.998, -0.045)  (1.992, -0.166)  (-1.998, 0.036)  (1.998, -0.036)  (-1.992, 0.166)  (1.998, 0.045)  (-1.998, -0.064)
step= 40  t=40.000  (0.431, -0.105)  (-0.856, -0.505)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (0.857, 0.505)  (-0.431, 0.105)
step= 41  t=41.000  (-0.090, 0.116)  (0.687, 0.501)  (1.992, -0.166)  (-1.999, 0.036)  (1.999, -0.036)  (-1.992, 0.166)  (-0.687, -0.501)  (0.090, -0.116)
step= 42  t=42.000  (0.000, 0.000)  (0.000, 0.000)  (1.994, -0.152)  (-1.999, 0.036)  (1.999, -0.036)  (-1.994, 0.152)  (0.000, 0.000)  (0.000, 0.000)
step= 43  t=43.000  (0.000, 0.000)  (0.000, 0.000)  (1.992, -0.171)  (-1.126, -0.098)  (1.126, 0.098)  (-1.992, 0.171)  (0.000, 0.000)  (0.000, 0.000)
step= 44  t=44.000  (0.000, 0.000)  (0.000, 0.000)  (1.992, -0.171)  (-0.362, 0.429)  (0.362, -0.429)  (-1.992, 0.171)  (0.000, 0.000)  (0.000, 0.000)
step= 45  t=45.000  (0.000, 0.000)  (0.000, 0.000)  (1.954, -0.196)  (0.343, 0.170)  (-0.343, -0.170)  (-1.954, 0.196)  (0.000, 0.000)  (0.000, 0.000)
step= 46  t=46.000  (0.000, 0.000)  (0.000, 0.000)  (1.198, -0.101)  (0.242, 0.107)  (-0.241, -0.107)  (-1.199, 0.101)  (0.000, 0.000)  (0.000, 0.000)
step= 47  t=47.000  (0.000, 0.000)  (0.000, 0.000)  (0.484, -0.542)  (0.040, -0.149)  (-0.040, 0.150)  (-0.484, 0.542)  (0.000, 0.000)  (0.000, 0.000)
step= 48  t=48.000  (0.000, 0.000)  (0.000, 0.000)  (0.350, 0.298)  (0.021, -0.244)  (-0.022, 0.243)  (-0.350, -0.297)  (0.000, 0.000)  (0.000, 0.000)
step= 49  t=49.000  (0.000, 0.000)  (0.000, 0.000)  (-0.413, 0.228)  (0.094, -0.014)  (-0.094, 0.014)  (0.414, -0.229)  (0.000, 0.000)  (0.000, 0.000)
step= 50  t=50.000  (0.000, 0.000)  (0.000, 0.000)  (-1.443, -0.070)  (0.036, -0.136)  (-0.037, 0.135)  (1.443, 0.070)  (0.000, 0.000)  (0.000, 0.000)
