step= 0  t=0.000  (1.957, -0.217)  (-1.933, -0.291)  (1.246, -0.047)  (-1.546, -0.046)  (1.057, -0.006)  (-0.839, 0.056)  (2.000, 0.000)  (-1.954, 0.247)
step= 1  t=1.000  (2.000, 0.006)  (-2.000, 0.007)  (1.947, 0.054)  (-2.000, 0.001)  (1.542, 0.029)  (-1.434, 0.232)  (2.000, 0.000)  (-2.000, -0.006)
step= 2  t=2.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (1.878, 0.048)  (-1.845, 0.067)  (2.000, 0.000)  (-2.000, -0.006)
step= 3  t=3.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, -0.000)  (-2.000, -0.006)
step= 4  t=4.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 5  t=5.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 6  t=6.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 7  t=7.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 8  t=8.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 9  t=9.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 10  t=10.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 11  t=11.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 12  t=12.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 13  t=13.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 14  t=14.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 15  t=15.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 16  t=16.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 17  t=17.000  (2.000, 0.006)  (-2.000, 0.007)  (2.000, -0.000)  (-2.000, 0.001)  (2.000, -0.002)  (-2.000, -0.009)  (2.000, 0.000)  (-2.000, -0.006)
step= 18  t=18.000  (0.791, 0.016)  (1.934, -0.511)  (1.000, 0.002)  (-1.126, -0.002)  (2.000, -0.002)  (-2.000, -0.009)  (1.070, -0.021)  (-1.192, 0.011)
step= 19  t=19.000  (1.885, -0.275)  (0.703, -0.565)  (0.095, 0.002)  (-0.160, -0.005)  (1.946, -0.463)  (-1.199, 0.010)  (-0.067, -0.059)  (-0.042, 0.045)
step= 20  t=20.000  (2.000, 0.018)  (-0.616, -1.597)  (0.336, 0.089)  (-0.391, -0.025)  (0.929, -0.332)  (-0.563, 0.057)  (0.242, -0.213)  (-0.335, 0.111)
step= 21  t=21.000  (2.000, 0.018)  (-1.875, -0.631)  (0.328, 0.183)  (-0.366, -0.234)  (0.568, -0.288)  (-0.107, 0.000)  (0.229, -0.158)  (-1.024, 0.782)
step= 22  t=22.000  (2.000, 0.018)  (-1.993, 0.156)  (0.482, 0.157)  (-1.111, -0.691)  (1.334, -0.619)  (-0.154, 0.069)  (0.571, 0.143)  (-1.922, 0.552)
step= 23  t=23.000  (2.000, 0.018)  (-1.993, 0.156)  (1.031, 0.013)  (-1.369, -0.500)  (1.912, -0.318)  (-0.602, 0.213)  (1.904, 0.133)  (-1.950, 0.443)
step= 24  t=24.000  (2.000, 0.018)  (-1.993, 0.156)  (1.658, 0.011)  (-1.572, -0.370)  (1.997, 0.107)  (-1.793, 0.065)  (2.000, 0.009)  (-1.997, -0.111)
step= 25  t=25.000  (2.000, 0.018)  (-1.993, 0.156)  (1.999, -0.023)  (-1.995, 0.098)  (1.997, 0.107)  (-1.999, -0.031)  (1.999, 0.009)  (-1.997, -0.111)
